PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
electronvolt square metre per kilogram;eV·m²/kg;product of the unit electronvolt and the power of the SI base unit metre with the exponent 2 divided by the SI base unit kilogram;;;eV·m²/kg;electronvolt square metre per kilogram;eV m² kg⁻¹;electronvolt square metre per kilogram;A56;;;0173-1#05-AAA026#003;total mass stopping power
pascal second per cubic metre;Pa·s/m³;quotient of the derived SI unit Pascal divided by the relation from the power of the SI base unit metre with the exponent 3 and the SI base unit second;;;Pa·s/m³;pascal second per cubic metre;Pa s m⁻³;pascal second per cubic metre;C66;;;0173-1#05-AAA027#003;pressure in relation to volume flow
pixel;pixel;both, the smallest unit of a digital raster graphic as well as the display on a screen with raster control;;;pixel;;pixel;pixel;E37;;;0173-1#05-AAA028#002;picture element
joule;J;SI derived unit with special name, for which the following relation applies: 1 J = 1 N·m = 1 m²·kg·s⁻²;SI-brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;J;joule;J;joule;JOU;joule;;0173-1#05-AAA029#003;kinetic or thermal energy
ampere second;A·s;product out of the SI base unit ampere and the SI base unit second;;;A·s;ampere second;A s;ampere second;A8;;;0173-1#05-AAA030#003;battery capacity
joule square metre per kilogram;J·m²/kg;product of the derived SI unit joule and the power of the SI base unit metre with the exponent 2 divided by the SI base unit kilogram;;;J·m²/kg;joule square metre per kilogram;J m² kg⁻¹;joule square metre per kilogram;B20;;;0173-1#05-AAA031#003;total mass stopping power
picofarad;pF;0,000 000 000 001 fold of the SI derived unit farad;;;pF;picofarad;pF;picofarad;4T;;;0173-1#05-AAA032#003;capacitance
kilohertz;kHz;1000 fold of the SI derived unit hertz;;;kHz;kilohertz;kHz;kilohertz;KHZ;;;0173-1#05-AAA033#003;frequency
gram per millilitre bar;(g/ml)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the 0,001 fold of the unit litre and the unit bar;;;g/(ml.bar);gram per millilitre bar;g ml⁻¹ bar⁻¹;gram per millilitre bar;G15;;;0173-1#05-AAA034#003;pressure-based density
newton per square metre;N/m²;SI derived unit newton divided by the power of the SI base unit metre with the exponent 2;;;N/m²;newton per square metre;N m⁻²;newton per square metre;C55;;;0173-1#05-AAA035#003;mechanical tension
kilogram per cubic centimetre kelvin;(kg/cm³)/K;SI base unit kilogram divided by the product out of the 0,000 001 fold of the power of the SI base unit metre with the exponent 3 and the SI base unit;;;kg/(cm³.K);kilogram per cubic centimetre kelvin;kg cm⁻³ K⁻¹;kilogram per cubic centimetre kelvin;G38;;;0173-1#05-AAA036#003;temperature-based density
millivolt per minute;mV/min;0,001 fold of the derived SI unit volt divided by the unit minute;;;mV/min;millivolt per minute;mV min⁻¹;millivolt per minute;H62;;;0173-1#05-AAA037#004;rise of off-state voltage
megaohm per metre;MΩ/m;1 000 000 fold of the SI derived unit ohm divided by the SI base unit metre;;;MΩ/m;megaohm per metre;MΩ m⁻¹;megaohm per metre;H37;;;0173-1#05-AAA038#004;lineic resistance
nanosecond;ns;0,000 000 001 fold of the SI base unit second;;;ns;nanosecond;ns;nanosecond;C47;nanosecond;;0173-1#05-AAA039#003;time
angstrom;Å;0,000 000 0001 fold of the SI base unit metre;;According to DIN 1301-3, this unit is no longer permitted.;;;Å;angstrom;A11;ångström;;0173-1#05-AAA040#003;distance
kilogram metre squared per second;kg·m²/s;product of the SI base unit kilogram and the power of the SI base unit metre with the exponent 2 divided by the SI base unit second;;;kg·m²/s;kilogram squere metre per second;kg m² s⁻¹;kilogram metre squared per second;B33;;;0173-1#05-AAA041#003;angular momentum
megabyte;Mbyte;1 000 000 times the unit byte;;;;;Mbyte;megabyte;4L;;;0173-1#05-AAA042#005;byte data volume
reciprocal second;1/s;reciprocal of the unit second;;;1/s;reciprocal second;s⁻¹;reciprocal second;C97;;;0173-1#05-AAA043#002;frequency
bar;bar;metrical non SI unit with special name, for which the following relation applies: 1 bar = 10⁵ N m⁻² = 10⁵ Pa;;;bar;bar;bar;bar;BAR;bar;;0173-1#05-AAA044#002;mechanical tension
candela;cd;luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540·10¹² hertz and that has a radiant intensity in that direction of 1/683 watt per steradian;SI brochure, DIN 1301-1;;cd;candela;cd;candela;CDL;candela;;0173-1#05-AAA045#003;luminous intensity
microgram per cubic metre;µg/m³;0,000 000 001 fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3;;;µg/m³;microgram per cubic metre;µg m⁻³;microgram per cubic metre;GQ;;;0173-1#05-AAA046#003;density
millihenry;mH;0,001 fold of the SI derived unit henry;;;mH;millihenry;mH;millihenry;C14;;;0173-1#05-AAA047#003;inductance or permeance
microvolt per metre;µV/m;0,000 001 fold of the SI derived unit volt divided by the SI base unit metre;;;µV/m;microvolt per metre;µV m⁻¹;microvolt per metre;C3;;;0173-1#05-AAA048#003;electric field strength
ohm;Ω;SI derived unit with special name, for which the following relation applies: 1 Ω = 1 C·A⁻¹  = 1 S⁻¹ = 1 m²·kg¹·s⁻³·A⁻²;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;Ω;ohm;Ω;ohm;OHM;ohm;;0173-1#05-AAA049#003;electrical resistance
square metre kelvin per watt;m²·K/W;product of the power of the SI base unit metre with the exponent 2 and the SI base unit kelvin divided by the SI derived unit watt;;;m²·K/W;square metre kelvin per watt;m² K W⁻¹;square metre kelvin per watt;D19;square meter kelvin per watt;;0173-1#05-AAA050#003;thermal insulation
gigabit per second;Gbit/s;1 000 000 000 fold of the unit bit divided by the SI base unit second;;;Gbit/s;gigabit per second;Gbit s⁻¹;gigabit per second;B80;;;0173-1#05-AAA051#003;bit transmission rate
microfarad per kilometre;µF/km;0,000 001 fold of the SI derived unit farad divided by the 1000 fold of the SI base unit metre;;;µF/km;microfarad per kilometre;µF km⁻¹;microfarad per kilometre;H28;;;0173-1#05-AAA052#004;permittivity
milliwatt per square metre;mW/m²;0,001 fold of the derived SI unit watt divided by the power of the SI base unit metre with the exponent 2;;;mW/m²;milliwatt per square metre;mW m⁻²;milliwatt per square metre;C32;;;0173-1#05-AAA053#003;areic energy flow
pascal litre per second;Pa·l/s;product out of the SI derived unit pascal and the unit litre divided by the SI base unit second;;;Pa.l/s;pascal litre per second;Pa l s⁻¹;pascal litre per second;F99;;;0173-1#05-AAA054#003;gas leak rate
poise;P;illegal cgs units of the dynamic viscosity, labelled after the french physician and medicin Jean Louis Marie Poiseuille and belong to the CGS-system of units and is defined as 1 poise = 0,1 pascal second;NIST Special Publication 811:1995;Since 1978 the SI unit pascal second has to be used in official and commercial communication.;;;;poise;89;poise;;0173-1#05-AAA055#003;dynamic viscosity
siemens per centimetre;S/cm;SI derived unit Siemens divided by the 0,01 fold of the SI base unit metre;;;S/cm;siemens per centimetre;S cm⁻¹;siemens per centimetre;H43;;;0173-1#05-AAA057#004;conductivity
gram per millimetre;g/mm;0,001-fold of the SI base unit kilogram divided by the 0,001-fold the SI base unit meter;;;;;g mm⁻¹;gram per millimetre;H76;;;0173-1#05-AAA058#005;lineic mass
becquerel per kilogram;Bq/kg;SI derived unit becquerel divided by the SI base unit kilogram;;;Bq/kg;becquerel per kilogram;Bq kg⁻¹;becquerel per kilogram;A18;;;0173-1#05-AAA059#003;activity related by mass
kilogram per day bar;(kg/d)/bar;SI base unit kilogram divided by the product out of the unit day and the unit bar;;;kg/(d.bar);kilogram per day bar;kg d⁻¹ bar⁻¹;kilogram per day bar;F66;;;0173-1#05-AAA060#003;pressure-based mass flow
millimetre to the fourth power;mm⁴;0,000 000 000 001 fold of the power of the SI base unit metre with the exponent 4;;;mm⁴;millimetre to the fourth power;mm⁴;millimetre to the fourth power;G77;;;0173-1#05-AAA061#003;second moment of area
kilogram per kilogram of product;kg/kg;SI base unit kilogram divided by the SI base unit kilogram;;;kg/kg;kilogram per kilogram;kg kg⁻¹;kilogram per kilogram of product;3H;;;0173-1#05-AAA062#003;mass fraction
microvolt;µV;0,000 001 fold of the SI derived unit volt;;;µV;microvolt;µV;microvolt;D82;;;0173-1#05-AAA063#003;voltage
kelvin;K;unit of thermodynamic temperature is the fraction 1/273,16 of the thermodynamic temperature of the triple point of water;;base unit of the International System of Units (SI);K;kelvin;K;kelvin;KEL;kelvin;;0173-1#05-AAA064#004;Service temperature
pascal cubic metre per second;Pa·m³/s;product out of the SI derived unit pascal and the power of the SI base unit metre with the exponent 3 divided by the SI base unit second;;;Pa.m³/s;pascal cubic metre per second;Pa m³ s⁻¹;pascal cubic metre per second;G01;;;0173-1#05-AAA065#003;gas leak rate
milligram per minute;mg/min;0,000 001 fold of the SI base unit kilogram divided by the unit minute;;;mg/min;milligram per minute;mg min⁻¹;milligram per minute;F33;;;0173-1#05-AAA067#003;mass flow rate
millimetre per second;mm/s;0,001 fold of the SI base unit metre divided by the SI base unit second;;;mm/s;millimetre per second;mm s⁻¹;millimetre per second;C16;;;0173-1#05-AAA068#003;velocity
gram per second kelvin;(g/s)/K;0,001 fold of the SI base unit kilogram divided by the product out of the SI base unit second and the SI base unit kelvin;;;g/(s.K);gram per second kelvin;g s⁻¹ K⁻¹;gram per second kelvin;F38;;;0173-1#05-AAA069#003;temperature-based mass flow rate
volt per microsecond;V/µs;SI derived unit volt divided by the 0,000 001 fold of the SI base unit second;;;V/µs;volt per microsecond;V µs⁻¹;volt per microsecond;H24;;;0173-1#05-AAA070#004;rise of off-state voltage
picoampere;pA;0,000 000 000 001 fold of the SI base unit ampere;;;pA;picoampere;pA;picoampere;C70;;;0173-1#05-AAA071#003;electric current
kibibyte;Kibyte;1024 fold of the unit byte;;To avoid confusion with the symbol B for bel, the symbol byte is used - according to IEC 61360-1:2004 and ISO 13584-42:1998, but contrary to IEC 60027-2:2005.;kein Eintrag;Kibibyte;Kibyte;kibibyte;E64;;;0173-1#05-AAA072#002;byte data volume
kelvin per minute;K/min;SI base unit kelvin divided by the unit minute;;;K/min;kelvin per minute;K min⁻¹;kelvin per minute;F11;;;0173-1#05-AAA073#003;rate of change of temperature
cubic centimetre per hour;cm³/h;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the unit hour;;;cm³/h;cubic centimetre per hour;cm³ h⁻¹;cubic centimetre per hour;G48;;;0173-1#05-AAA075#003;volume flow rate or volume velocity
newton per metre;N/m;SI derived unit newton divided by the SI base unit metre;DIN 1301-2, ISO 1000;;N/m;newton per metre;N m⁻¹;newton per metre;4P;newton per meter;;0173-1#05-AAA076#003;surface tension
millinewton per metre;mN/m;0,001 fold of the SI derived unit newton divided by the SI base unit metre;;;mN/m;millinewton per metre;mN m⁻¹;millinewton per metre;C22;;;0173-1#05-AAA077#003;surface tension
square metre;m²;power of the SI base unit metre with the exponent 2;DIN 1301-2, ISO 1000;;m²;square metre;m²;square metre;MTK;square meter;;0173-1#05-AAA078#003;surface
cubic centimetre per second kelvin;(cm³/s)/K;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the SI base unit second and the SI base unit kelvin;;;cm³/(s.K);cubic centimetre per second kelvin;cm³ s⁻¹ K⁻¹;cubic centimetre per second kelvin;G64;;;0173-1#05-AAA079#003;temperature-based volume flow rate
newton metre second;N·m·s;product of the SI derived unit newton, the SI base unit metre and the SI base unit second;;;N·m·s;newton metre second;N m s;newton metre second;C53;;;0173-1#05-AAA080#003;rotary shock
gram per cubic metre bar;(g/m³)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the power of the SI base unit metre with the exponent 3 and the SI base unit bar;;;g/(m³.bar);gram per cubic metre bar;g m⁻³ bar⁻¹;gram per cubic metre bar;G14;;;0173-1#05-AAA081#003;pressure-based density
radian per second squared;rad/s²;derived SI base unit radian divided by the power of the SI base unit second with the exponent 2;;;rad/s²;radian per second squared;rad s⁻²;radian per second squared;2B;;;0173-1#05-AAA082#003;angular acceleration
kilosiemens per metre;kS/m;1000 fold of the SI derived unit siemens divided by the SI base unit metre;;;kS/m;kilosiemens per metre;kS m⁻¹;kilosiemens per metre;B54;;;0173-1#05-AAA083#003;conductivity
litre per day bar;(l/d)/bar;unit litre divided by the product out of the unit day and the unit bar;;;l/(d.bar);litre per day bar;l d⁻¹ bar⁻¹;litre per day bar;G82;;;0173-1#05-AAA084#003;pressure-based volume flow
litre per second bar;(l/s)/bar;unit litre divided by the product out of the SI base unit second and the unit bar;;;l/(s.bar);litre per second bar;l s⁻¹ bar⁻¹;litre per second bar;G85;;;0173-1#05-AAA085#003;pressure-based volume flow
millibar per kelvin;mbar/K;0,001 fold of the unit bar divided by the unit bar;;;mbar/K;millibar per kelvin;mbar K⁻¹;millibar per kelvin;F84;;;0173-1#05-AAA086#002;pressure coefficient
milligray;mGy;0,001 fold of the SI derived unit gray;;;mGy;milligray;mGy;milligray;C13;;;0173-1#05-AAA087#003;absorbed dose
cubic centimetre per minute kelvin;(cm³/min)/K;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit minute and the SI base unit kelvin;;;cm³/(min.K);cubic centimetre per minute kelvin;cm³ min⁻¹ K⁻¹;cubic centimetre per minute kelvin;G63;;;0173-1#05-AAA088#003;temperature-based volume flow rate
kelvin per second;K/s;SI base unit kelvin divided by the SI base unit second;;;K/s;kelvin per second;K s⁻¹;kelvin per second;F12;;;0173-1#05-AAA089#003;rate of change of temperature
reciprocal pascal or pascal to the power minus one;Pa⁻¹;reciprocal of the SI derived unit pascal;;;Pa⁻¹;reciprocal pascal;Pa⁻¹;reciprocal pascal or pascal to the power minus one;C96;;;0173-1#05-AAA090#003;compressibility
milliampere per inch;mA/in;0,001 fold of the SI base unit ampere divided by the unit inch according to the Anglo-American and the Imperial system of units;;;;;;milliampere per inch;F08;;;0173-1#05-AAA091#003;lineic electric current or magnetic field strength or magnetization
millinewton;mN;0,001 fold of the SI derived unit newton;;;mN;millinewton;mN;millinewton;C20;millinewton;;0173-1#05-AAA093#003;force
candela per square metre;cd/m²;SI base unit candela divided by the power of the SI base unit metre with the exponent 2;;;cd/m²;candela per square metre;cd m⁻²;candela per square metre;A24;candela per square meter;;0173-1#05-AAA094#003;luminance
picosecond;ps;0,000 000 000 001 fold of the SI base unit second;;;ps;pikosecond;ps;picosecond;H70;;;0173-1#05-AAA095#004;time
millimetre squared per second;mm²/s;0,000 001 fold of the power of the SI base unit metre with the exponent 2 divided by the SI base unit second;;;mm²/s;square millimetre per second;mm² s⁻¹;millimetre squared per second;C17;;;0173-1#05-AAA096#003;kinematic viscosity or diffusion constant or thermal diffusivity
terawatt hour;TW·h;1 000 000 000 000 fold of the product of the SI derived unit watt and the unit hour;;;TW·h;terawatt hour;TW h;terawatt hour;D32;;;0173-1#05-AAA098#003;energy content
microgram per litre;µg/l;0,000 000 001 fold of the SI base unit kilogram divided by the unit litre;;;µg/l;microgram per liter;µg l⁻¹;microgram per litre;H29;;;0173-1#05-AAA099#004;density
cubic centimetre;cm³;0,000 001 fold of the power of the SI base unit metre with the exponent 3;;;cm³;cubic centimetre;cm³;cubic centimetre;CMQ;;;0173-1#05-AAA100#003;volume or section modulus
terajoule;TJ;1 000 000 000 000 fold of the SI derived unit joule;;;TJ;terajoule;TJ;terajoule;D30;;;0173-1#05-AAA101#003;kinetic or thermal energy
cubic metre per second kelvin;(m³/s)/K;power of the SI base unit metre with the expontent 3 divided by the product out of the SI base unit second and the SI base unit kelvin;;;m³/(s.K);cubic metre per second kelvin;m³ s⁻¹ K⁻¹;cubic metre per second kelvin;G72;;;0173-1#05-AAA102#003;temperature-based volume flow rate
mole;mol;amount of substance of a system which contains as many elementary entities as there are atoms in 0,012 kilogram of carbon 12;;When the mole is used, the elementary entities must be specified and may be atoms, molecules, ions, electrons, other particles, or specified groups of such particles.;mol;mole;mol;mole;C34;mole;;0173-1#05-AAA103#002;amount of substance
milligram per square centimetre;mg/cm²;0,000 001 fold of the SI base unit kilogram divided by the 0,000 1 fold of the power of the SI base unit metre with the exponent 2;;;mg/cm²;milligram per square centimetre;mg cm⁻²;milligram per square centimetre;H63;;;0173-1#05-AAA104#004;areic mass
percent per kelvin;%/K;hundredth divided by the SI base unit kelvin;;The composed unit %/K serves to display the dependece of the measurand.;%/K;percent per kelvin;% K⁻¹;percent per kelvin;H25;;;0173-1#05-AAA105#004;linear expansion coefficient
micrometre per kelvin;µm/K;0,000 001 fold of the SI base unit metre divided by the SI base unit kelvin;;;µm/K;micrometre per kelvin;µm K⁻¹;micrometre per kelvin;F50;;;0173-1#05-AAA106#003;temperature-based length
kilogram per bar;kg/bar;SI base unit kilogram divided by the unit bar;;;kg/bar;kilogram per bar;kg bar⁻¹;kilogram per bar;H53;;;0173-1#05-AAA107#004;pressure-based mass
minute [unit of time];min;60 fold of the SI base unit second;;do not use with SI prefixes;min;minute;min;minute [unit of time];MIN;minute;;0173-1#05-AAA109#003;time
peck;pk (US);unit of the volume according the Anglo-American system of units with the relation according to NIST: 1 peck (US) = 8,809 768 litres;NIST Special Publication 811:1995;1 peck (US) = 16 dry pint (US) = 537,605 cubic inch = 8,809768 litres. 1bushel (US)= 4 peck (US);;;;peck;G23;peck (U.S.);;0173-1#05-AAA110#003;volume or section modulus
cubic metre per hour bar;(m³/h)/bar;power of the SI base unit metre with the exponent 3 diveded by the product out of the unit hour and the unit bar;;;m³/(h.bar);cubic metre per hour bar;m³ h⁻¹ bar⁻¹;cubic metre per hour bar;G87;;;0173-1#05-AAA111#003;pressure-based volume flow
millilitre per kelvin;ml/K;0,001 fold of the unit litre divided by the SI base unit kelvin;;;ml/K;millilitre per kelvin;ml K⁻¹;millilitre per kelvin;G30;;;0173-1#05-AAA112#003;temperature-related volume
slug;slug;illegal unit of the mass according to the english engineer system with the relation: a mass of 1 ''slug'' experiences by the power 1 ''pound-force'' an acceleration of von 1 ''ft/s²'', whereas the value of the acceleration of gravity in this case is not exactly defined;NIST Special Publication 811:1995;The slug was built in one of the English engineer systems as a consistent unit to foot (ft) and pound-force (lbf).;;;;slug;F13;slug;;0173-1#05-AAA113#003;mass
millisecond;ms;0,001 fold of the SI base unit second;;;ms;millisecond;ms;millisecond;C26;;;0173-1#05-AAA114#003;time
megaohm metre;MΩ·m;1 000 000 fold of the product of the SI derived unit ohm and the SI unit metre;;;MΩ·m;megaohm metre;MΩ m;megaohm metre;B76;;;0173-1#05-AAA115#003;resistivity
milligram per hour bar;(mg/h)/bar;0,000 001 fold of the SI base unit kilogram divided by the product out of the unit hour and the unit bar;;;mg/(h.bar);milligram per hour bar;mg h⁻¹ bar⁻¹;milligram per hour bar;F71;;;0173-1#05-AAA116#003;pressure-based mass flow
degree [unit of angle];°;360th part of a full circle;;;°;degree;°;degree [unit of angle];DD;degree;;0173-1#05-AAA117#003;plane angle
inch of water;inH₂O;not SI conform unit of the pressure - 1 in H2O is equivalent to the static pressure, which will be generated from a water column with a heigth of 1 inch according to the Anglo-American and the Imperial system of units;NIST Special Publication 811:1995;;inH₂O;;inH₂O;inch of water;F78;inch of water, conventional;;0173-1#05-AAA118#003;mechanical tension
newton metre per degree;Nm/°;product of the SI derived unit newton and the SI base unit metre divided by the unit degree;;;N·m/°;newton metre per degree;N m °⁻¹;newton metre per degree;F89;;;0173-1#05-AAA120#003;torsion spring coefficient
minute [unit of angle];';60th part of the unit degree, which is the 360th part of a full circle;;;';minute;';minute [unit of angle];D61;minute;;0173-1#05-AAA121#003;plane angle
month;mo;2 629 800 fold of the SI base unit second accordant the 12th part of a year with 365,25 days;;;;;Monat;;MON;;;0173-1#05-AAA123#004;time
gigawatt hour;GW·h;1 000 000 000 fold of the product of the SI derived unit watt and the unit hour;;;GW·h;gigawatt hour;GW h;gigawatt hour;GWH;;;0173-1#05-AAA124#003;energy content
kilojoule per kilogram kelvin;kJ/(kg·K);1000 fold of the SI derived unit joule divided by the product of the SI base unit kilogram and the SI base unit kelvin;;;kJ/(kg·K);kilojoule per kilogram kelvin;kJ kg⁻¹ K⁻¹;kilojoule per kilogram kelvin;B43;;;0173-1#05-AAA125#003;massic heat capacity
bit per cubic metre;bit/m³;unit bit divided by the power of the SI base unit metre with the exponent 3;;;bit/m³;bit per cubic metre;bit m⁻³;bit per cubic metre;E89;;;0173-1#05-AAA126#003;volumic data quantity
microgram;µg;0,000 000 001 fold of the SI base unit kilogram;;;µg;microgram;µg;microgram;MC;microgram;;0173-1#05-AAA127#003;mass
cubic foot;ft³;power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3;NIST Special Publication 811:1995;;;;;cubic foot;FTQ;cubic foot;;0173-1#05-AAA128#003;volume or section modulus
percent;%;hundredth;NIST Special Publication 811:1995;;%;percent;%;percent;P1;percent;;0173-1#05-AAA129#003;neutral ratio
litre per mole;l/mol;unit litre divided by the SI base unit mol;;;l/mol;litre per mole;l mol⁻¹;litre per mole;B58;;;0173-1#05-AAA130#003;molar volume
gram per millilitre kelvin;(g/ml)/K;0,001 fold of the SI base unit kilogram divided by the product out of the 0,001 fold of the unit litre and the SI base unit kelvin;;;g/(ml.K);gram per millilitre kelvin;g ml⁻¹ K⁻¹;gram per millilitre kelvin;G37;;;0173-1#05-AAA131#003;temperature-based density
metre to the fourth power;m⁴;power of the SI base unit metre with the exponent 4;;;m⁴;metre to the fourth power;m⁴;metre to the fourth power;B83;meter to the fourth power;;0173-1#05-AAA132#003;second moment of area
newton metre per kilogram;N·m/kg;product of the derived SI unit newton and the SI base unit metre divided by the SI base unit kilogram;;;N·m/kg;newton metre per kilogram;N m kg⁻¹;newton metre per kilogram;G19;;;0173-1#05-AAA133#003;massic torque
picofarad per metre;pF/m;0,000 000 000 001 fold of the SI derived unit farad divided by the SI base unit metre;;;pF/m;picofarad per metre;pF m⁻¹;picofarad per metre;C72;;;0173-1#05-AAA135#003;permittivity
newton metre per ampere;N·m/A;product of the SI derived unit newton and the SI base unit metre divided by the SI base unit ampere;;;N·m/A;newton metre per ampere;N m A⁻¹;newton metre per ampere;F90;;;0173-1#05-AAA136#003;torque constant
