xmi:type,name,xmi:id,description
Transition,stampInitCompleted,_-11MQCZ6EeagIsaxH253Xw,[stamp.InitCompleted]
Transition,craneInitCompleted,_DiMNsCZ7EeagIsaxH253Xw,[crane.InitCompleted]
Transition,stackInitCompleted,_H4VukCZ7EeagIsaxH253Xw,[stack.InitCompleted]
Transition,NOTInitCompleted,_plwosGV3Eeab9L8V4_TyWg,[NOT InitCompleted]
Transition,InitCompleted,_MR9QYLcZEeaSbZaN2J4zjw,[InitCompleted]
Transition,Transition12mBoNgJEeaLleG51tH3Eg,_12mBoNgJEeaLleG51tH3Eg,
Transition,TransitionQdnjkNgKEeaLleG51tH3Eg,_QdnjkNgKEeaLleG51tH3Eg,
Transition,TransitiondlTykNgKEeaLleG51tH3Eg,_dlTykNgKEeaLleG51tH3Eg,
Transition,Transition97YskNgLEeaLleG51tH3Eg,_97YskNgLEeaLleG51tH3Eg,
Transition,Transition44PkNgLEeaLleG51tH3Eg,_-44PkNgLEeaLleG51tH3Eg,
Transition,TransitionhLkG8OcFEeayP7zJxSzVpQ,_hLkG8OcFEeayP7zJxSzVpQ,
Transition,Transitionhz2O8OcFEeayP7zJxSzVpQ,_hz2O8OcFEeayP7zJxSzVpQ,
Transition,TransitionifBS4OcFEeayP7zJxSzVpQ,_ifBS4OcFEeayP7zJxSzVpQ,
Transition,TransitionjjPI8OcFEeayP7zJxSzVpQ,_jjPI8OcFEeayP7zJxSzVpQ,
Transition,TransitionteXjEOcKEeayP7zJxSzVpQ,_teXjEOcKEeayP7zJxSzVpQ,
Transition,TransitionuLmcgOcKEeayP7zJxSzVpQ,_uLmcgOcKEeayP7zJxSzVpQ,
Transition,Transitionu8H6gOcKEeayP7zJxSzVpQ,_u8H6gOcKEeayP7zJxSzVpQ,
Transition,TransitionveQQOcKEeayP7zJxSzVpQ,_veQ-QOcKEeayP7zJxSzVpQ,
Pseudostate,PseudostateZifjgCZ4EeagIsaxH253Xw,_ZifjgCZ4EeagIsaxH253Xw,
State,LargeSortingConveyorInit,_4k85gCZ5EeagIsaxH253Xw,LargeSortingConveyorInit
OpaqueBehavior,OpaqueBehaviorOfLargeSortingConveyorInit,_kHx2ALcZEeaSbZaN2J4zjw,largeSortingConveyor.ACT_Init()
State,CraneInit,_ArsXICZ6EeagIsaxH253Xw,Crane_Init
OpaqueBehavior,OpaqueBehaviorOfCraneInit,_mdBPELcZEeaSbZaN2J4zjw,crane.ACT_Init()
State,StampInit,_GQMhgCZ6EeagIsaxH253Xw,Stamp_Init
OpaqueBehavior,OpaqueBehaviorOfStampInit,_VkgZ0LcZEeaSbZaN2J4zjw,stamp.ACT_Init()
State,StackInit,_NMNRYCZ6EeagIsaxH253Xw,StackInit
OpaqueBehavior,OpaqueBehaviorOfStackInit,_g9z0YLcZEeaSbZaN2J4zjw,stack.ACT_Init()
FinalState,FinalStateTpHqcCZ6EeagIsaxH253Xw,_TpHqcCZ6EeagIsaxH253Xw,
State,InitCompleted,_DjY9wLcZEeaSbZaN2J4zjw,Init_Completed
OpaqueBehavior,OpaqueBehaviorOfInitCompleted,_KQM0ALcZEeaSbZaN2J4zjw,Now(InitCompleted)
State,ResetInit,_uZGVUNgJEeaLleG51tH3Eg,Reset_Init
OpaqueBehavior,OpaqueBehaviorOfResetInit,_-BveINgJEeaLleG51tH3Eg,Reset(StartButton)
Pseudostate,PseudostateHxvYkNgKEeaLleG51tH3Eg,_HxvYkNgKEeaLleG51tH3Eg,
State,EmergencyChecking,_RmIDwNgKEeaLleG51tH3Eg,EmergencyChecking
OpaqueBehavior,OpaqueBehaviorOfEmergencyChecking,_aAWeENgKEeaLleG51tH3Eg,EmergencyStop := stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency;
Pseudostate,Pseudostated2jeINgLEeaLleG51tH3Eg,_d2jeINgLEeaLleG51tH3Eg,
State,PicAlphaConveyorInit,_7TPP4OcEEeayP7zJxSzVpQ,PicAlphaConveyorInit
OpaqueBehavior,OpaqueBehaviorOfPicAlphaConveyorInit,_JbjOYOcFEeayP7zJxSzVpQ,picAlphaConveyor.ACT_Init()
State,SmallSortingConveyorInit,__Y6EwOcEEeayP7zJxSzVpQ,SmallSortingConveyorInit
OpaqueBehavior,OpaqueBehaviorOfSmallSortingConveyorInit,_OMTAkOcFEeayP7zJxSzVpQ,smallSortingConveyor.ACT_Init()
State,RefillConveyorInit,_DkTuMOcFEeayP7zJxSzVpQ,RefillConveyorInit
OpaqueBehavior,OpaqueBehaviorOfRefillConveyorInit,_ScwJIOcFEeayP7zJxSzVpQ,refillConveyor.ACT_Init()
Pseudostate,PseudostateYQ3c0OcFEeayP7zJxSzVpQ,_YQ3c0OcFEeayP7zJxSzVpQ,
Pseudostate,Pseudostate4Y03wOcFEeayP7zJxSzVpQ,_4Y03wOcFEeayP7zJxSzVpQ,
StateMachine,PPUACTEmergencyStop,_5kHGoCcMEeaCDM79dIZItg,PPU_ACT_EmergencyStop
Transition,refillConveyorswitchStopperDIRetracted,_-jblsCcfEea2HoRD4bUt5w,[refillConveyor.switchStopper.DI_Retracted]
Transition,TRUE,_VYO-IEmZEeaPbYa44WUTPg,[true]
Transition,TransitionYUIHgEmZEeaPbYa44WUTPg,_YUIHgEmZEeaPbYa44WUTPg,
Transition,TransitioncMCNMEmZEeaPbYa44WUTPg,_cMCNMEmZEeaPbYa44WUTPg,
Transition,TransitionfEb9sEmZEeaPbYa44WUTPg,_fEb9sEmZEeaPbYa44WUTPg,
Transition,TransitionipNE8EmZEeaPbYa44WUTPg,_ipNE8EmZEeaPbYa44WUTPg,
Transition,TransitionsBaKcEmZEeaPbYa44WUTPg,_sBaKcEmZEeaPbYa44WUTPg,
Transition,TransitionttrfAEmZEeaPbYa44WUTPg,_ttrfAEmZEeaPbYa44WUTPg,
Transition,TransitionwKp3wEmZEeaPbYa44WUTPg,_wKp3wEmZEeaPbYa44WUTPg,
Transition,TransitionzHKFIEmZEeaPbYa44WUTPg,_zHKFIEmZEeaPbYa44WUTPg,
Transition,EmergencyHandled,_16RtAEmZEeaPbYa44WUTPg,[EmergencyHandled]
Transition,NOTEmergencyHandled,_8Ja3gGV_Eeab9L8V4_TyWg,[NOT EmergencyHandled]
Transition,stackEmergencyHandled,_arFLMNgMEeaLleG51tH3Eg,[stack.EmergencyHandled]
Transition,craneEmergencyHandled,_d23xwNgMEeaLleG51tH3Eg,[crane.EmergencyHandled]
Transition,largeSortingConveyorEmergencyHandled,_pu7k4NgMEeaLleG51tH3Eg,[largeSortingConveyor.EmergencyHandled]
Transition,stampEmergencyHandled,_yzlcQNgMEeaLleG51tH3Eg,[stamp.EmergencyHandled]
Transition,picAlphaConveyorEmergencyHandled,_4qOFkOcMEeayP7zJxSzVpQ,[picAlphaConveyor.EmergencyHandled]
Transition,smallSortingConveyorEmergencyHandled,_6xOOUOcMEeayP7zJxSzVpQ,[smallSortingConveyor.EmergencyHandled]
Transition,refillSortingConveyorEmergencyHandled,_8dgxAOcMEeayP7zJxSzVpQ,[refillSortingConveyor.EmergencyHandled]
Pseudostate,PseudostateiAX04CcfEea2HoRD4bUt5w,_iAX04CcfEea2HoRD4bUt5w,
FinalState,FinalState99C7ICcfEea2HoRD4bUt5w,_99C7ICcfEea2HoRD4bUt5w,
State,StackEmergencyStop,_mxLR0EmXEeaPbYa44WUTPg,Stack_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfStackEmergencyStop,_JU7CELcaEeaSbZaN2J4zjw,stack.ACT_EmergencyStop()
State,CraneEmergencyStop,_pTCKkEmXEeaPbYa44WUTPg,Crane_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfCraneEmergencyStop,_LwcCQLcaEeaSbZaN2J4zjw,crane.ACT_EmergencyStop()
State,LargeSortingConveyorEmergencyStop,_rUGDYEmXEeaPbYa44WUTPg,LargeSortingConveyor_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfLargeSortingConveyorEmergencyStop,_NcMZcLcaEeaSbZaN2J4zjw,largeSortingConveyor.ACT_EmergencyStop()
State,StampEmergencyStop,__Jv_MEmXEeaPbYa44WUTPg,Stamp_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfStampEmergencyStop,_PATQgLcaEeaSbZaN2J4zjw,stamp.ACT_EmergencyStop()
State,EmergencyHandled,_AxufYGWAEeab9L8V4_TyWg,Emergency_Handled
OpaqueBehavior,OpaqueBehaviorOfEmergencyHandled,_Gnpw8GWAEeab9L8V4_TyWg,Now(EmergencyHandled)
State,PicAlphaConveyorEmergencyStop,_eRSC8OcMEeayP7zJxSzVpQ,PicAlphaConveyor_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfPicAlphaConveyorEmergencyStop,_lhPCgOcMEeayP7zJxSzVpQ,picAlphaConveyor.ACT_EmergencyStop()
State,SmallSortingConveyorEmergencyStop,_od5A4OcMEeayP7zJxSzVpQ,SmallSortingConveyor_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfSmallSortingConveyorEmergencyStop,_uKTKEOcMEeayP7zJxSzVpQ,smallSortingConveyor.ACT_EmergencyStop()
State,RefillConveyorEmergencyStop,_qxOVcOcMEeayP7zJxSzVpQ,RefillConveyor_EmergencyStop
OpaqueBehavior,OpaqueBehaviorOfRefillConveyorEmergencyStop,_vqbgEOcMEeayP7zJxSzVpQ,refillConveyor.ACT_EmergencyStop()
StateMachine,PPUStateMachine,_CmulYLcSEeaSbZaN2J4zjw,PPU_StateMachine
Transition,TRUE,_FsOhQLcTEeaSbZaN2J4zjw,[true]
Transition,StartButton,_QzxdcLcTEeaSbZaN2J4zjw,[StartButton]
Transition,TRUE,_-g-mELcTEeaSbZaN2J4zjw,[true]
Transition,InitCompleted,__3UG4LcTEeaSbZaN2J4zjw,[InitCompleted]
Transition,TRUE,_rL4HsLcVEeaSbZaN2J4zjw,[true]
Transition,EmergencyStop,_sem64LcVEeaSbZaN2J4zjw,[EmergencyStop]
Transition,EmergencyHandled,_y5T4ALcWEeaSbZaN2J4zjw,[EmergencyHandled]
Transition,NOTEmergencyStop,_RWkrsLcXEeaSbZaN2J4zjw,[NOT EmergencyStop]
Transition,StartButton,_j8wjsLcXEeaSbZaN2J4zjw,[StartButton]
Transition,EmergencyStop,_x2tWELcXEeaSbZaN2J4zjw,[EmergencyStop]
Pseudostate,PseudostateoaxZYLcSEeaSbZaN2J4zjw,_oaxZYLcSEeaSbZaN2J4zjw,
State,Start,_pLcoYLcSEeaSbZaN2J4zjw,Start
OpaqueBehavior,OpaqueBehaviorOfStart,_NcZyINgGEeaLleG51tH3Eg,StartButton := stack.StartButton OR largeSortingConveyor.StartButton OR stamp.StartButton
State,Initialisation,_rNpwsLcSEeaSbZaN2J4zjw,Initialisation
OpaqueBehavior,OpaqueBehaviorOfInitialisation,_IFwvALcUEeaSbZaN2J4zjw,ACT_Init()
OpaqueBehavior,OpaqueBehaviorOfInitialisation,_oXzIcLcTEeaSbZaN2J4zjw,InitCompleted:=false; largeSortingConveyor.panel.ACT_TurnLampWhite_On(); stack.panel.ACT_TurnLampWhite_On(); stamp.panel.ACT_TurnLampWhite_On(); largeSortingConveyor.panel.ACT_TurnLampGreen_Off(); stack.panel.ACT_TurnLampGreen_Off(); stamp.panel.ACT_TurnLampGreen_Off();
State,AutomaticExecute,_tf5gILcSEeaSbZaN2J4zjw,AutomaticExecute
OpaqueBehavior,OpaqueBehaviorOfAutomaticExecute,_CRRLYLcVEeaSbZaN2J4zjw,ACT_AutomaticExecute()
OpaqueBehavior,OpaqueBehaviorOfAutomaticExecute,_Pv-BoLcUEeaSbZaN2J4zjw,AutomaticExecuteCompleted:=false; largeSortingConveyor.panel.ACT_TurnLampWhite_Off(); stack.panel.ACT_TurnLampWhite_Off(); stamp.panel.ACT_TurnLampWhite_Off(); largeSortingConveyor.panel.ACT_TurnLampGreen_On(); stack.panel.ACT_TurnLampGreen_On(); stamp.panel.ACT_TurnLampGreen_On();
State,EmergencyStop,_vzNmkLcSEeaSbZaN2J4zjw,Emergency_Stop
OpaqueBehavior,OpaqueBehaviorOfEmergencyStop,_nkE6kLcVEeaSbZaN2J4zjw,ACT_EmergencyStop()
OpaqueBehavior,OpaqueBehaviorOfEmergencyStop,_SBFTMLcVEeaSbZaN2J4zjw,EmergencyHandled:=false; largeSortingConveyor.panel.ACT_TurnLampWhite_Off(); stack.panel.ACT_TurnLampWhite_Off(); stamp.panel.ACT_TurnLampWhite_Off(); largeSortingConveyor.panel.ACT_TurnLampGreen_Off(); stack.panel.ACT_TurnLampGreen_Off(); stamp.panel.ACT_TurnLampGreen_Off();
State,ReadyToInitialiseAgain,_zHxuoLcSEeaSbZaN2J4zjw,ReadyToInitialiseAgain
OpaqueBehavior,OpaqueBehaviorOfReadyToInitialiseAgain,_-03rELcWEeaSbZaN2J4zjw,EmergencyStop := stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency; StartButton := stack.StartButton OR largeSortingConveyor.StartButton OR stamp.StartButton; IF(StartButton)THEN stamp.SoftwareEmergency:=FALSE; crane.SoftwareEmergency:=FALSE END_IF
Pseudostate,Pseudostate83rtALcTEeaSbZaN2J4zjw,_83rtALcTEeaSbZaN2J4zjw,
Pseudostate,PseudostateprR3oLcVEeaSbZaN2J4zjw,_prR3oLcVEeaSbZaN2J4zjw,
Operation,AutomaticExecute,_34-LMBzfEeaVKKE7CcnSSg,Automatic_Execute
Operation,Initialisation,_SUKUkCZ4EeagIsaxH253Xw,Initialisation
Operation,EmergencyStop,_K_UZQCcNEeaCDM79dIZItg,EmergencyStop
Class,Stack,_P1xSIBHVEeaen93uATCTQQ,Stack
Property,StartButton,_QuGvQNgNEeaLleG51tH3Eg,StartButton
Property,InitCompleted,_dMpoIBHfEeaIeI6F5gdpJg,InitCompleted
Property,AutomaticExecuteCompleted,_0fnXELYcEeaPAdOs73iMYQ,AutomaticExecuteCompleted
Property,EmergencyStop,_Wz-hUNgNEeaLleG51tH3Eg,EmergencyStop
Property,EmergencyHandled,_PQIEgGSBEeaP7aiWefDRgg,EmergencyHandled
Property,WPProvided,_aSZBABHgEeaIeI6F5gdpJg,WPProvided
Property,WPType,_mbruEBHgEeaIeI6F5gdpJg,WPType
Property,WPWeight,_4yUIUNydEea2-snvt7IG-A,WPWeight
Property,CheckCranePickedUpWP,_kc3Y4NgNEeaLleG51tH3Eg,Check_Crane_PickedUpWP
Property,panel,_JTiEcxHmEeaIeI6F5gdpJg,panel
Property,seperator,_KG4M8xHmEeaIeI6F5gdpJg,seperator
Property,WPAvailable,_LN6GcxHmEeaIeI6F5gdpJg,WPAvailable
Property,inductiveSensor,_L4sI0xHmEeaIeI6F5gdpJg,inductiveSensor
Property,opticalSensor,_MmUq4xHmEeaIeI6F5gdpJg,opticalSensor
Property,weightModule,_ebS4oNyaEea2-snvt7IG-A,weightModule
StateMachine,StackACTProvideWP,_zPV5YBz6EeaHnYHMiM-I7Q,Stack_ACT_ProvideWP
Transition,NOTWPAvailableDISwitchTrue,_pAOkkBz7Eeagv-kRpDakmQ,[NOT WPAvailable.DI_SwitchTrue]
Transition,seperatorExtendedandWPAvailableDISwitchTrue,_uyXiUBz7Eeagv-kRpDakmQ,[seperator.Extended and WPAvailable.DI_SwitchTrue]
Transition,NOTinductiveSensorDIWPMetallicandNOTopticalSensorDIWPLight,__CAZsBz7Eeagv-kRpDakmQ,[NOT inductiveSensor.DI_WPMetallic and NOT opticalSensor.DI_WPLight]
Transition,NOTinductiveSensorDIWPMetallicandopticalSensorDIWPLight,_Sz524Bz8Eeagv-kRpDakmQ,[NOT  inductiveSensor.DI_WPMetallic and opticalSensor.DI_WPLight]
Transition,inductiveSensorDIWPMetallic,_iA6MkBz8Eeagv-kRpDakmQ,[ inductiveSensor.DI_WPMetallic]
Transition,WPTypeMetallic,_vKIFkBz8Eeagv-kRpDakmQ,[WPType=Metallic]
Transition,AIWeight12000,_0uf3oBz9Eeagv-kRpDakmQ,[AI_Weight < 12000]
Transition,WPTypeWhite,_7KiG8Bz9Eeagv-kRpDakmQ,[WPType=White]
Transition,WPTypeBlack,_9G-lgBz9Eeagv-kRpDakmQ,[WPType=Black]
Transition,TRUE,_LFB0wBz-Eeagv-kRpDakmQ,[true]
Transition,WPProvided,_7asd0DkgEea8uOUb4gQg2Q,[WPProvided]
Transition,TRUE,_iNSyQD6nEea_loQFEJgOAg,[true]
Transition,TransitiondzagD6nEealoQFEJgOAg,_-dzagD6nEea_loQFEJgOAg,
Transition,TRUE,_yPXw4LcbEeaSbZaN2J4zjw,[true]
Transition,weightModuleAIWPWeight12000,__zA10NybEea2-snvt7IG-A,[weightModule.AI_WPWeight<12000]
Transition,12000weightModuleAIWPWeightANDweightModuleAIWPWeight24000,_J2QcYNycEea2-snvt7IG-A,[12000<=weightModule.AI_WPWeight AND weightModule.AI_WPWeight<24000]
Transition,24000weightModuleAIWPWeight,_S1qnYNycEea2-snvt7IG-A,[24000<=weightModule.AI_WPWeight]
Transition,WPWeightMedium,_jK8MsNycEea2-snvt7IG-A,[WPWeight=Medium]
Transition,WPWeightLight,_r2b9MNycEea2-snvt7IG-A,[WPWeight=Light]
Transition,WPWeightHeavy,_wH0S0NycEea2-snvt7IG-A,[WPWeight=Heavy]
Pseudostate,PseudostatednqJ0Bz7EeagvkRpDakmQ,_dnqJ0Bz7Eeagv-kRpDakmQ,
State,Extending,_gsU0sBz7Eeagv-kRpDakmQ,Extending
OpaqueBehavior,OpaqueBehaviorOfExtending,_YDh0EKXNEeaaifhFzThDQw,seperator.ACT_Extend()
Pseudostate,PseudostatetPQJwBz7EeagvkRpDakmQ,_tPQJwBz7Eeagv-kRpDakmQ,
State,DetectingBlack,_10HGwBz7Eeagv-kRpDakmQ,DetectingBlack
OpaqueBehavior,OpaqueBehaviorOfDetectingBlack,_614XgBz7Eeagv-kRpDakmQ,Set(WPType:=eWPType.Black)
State,DetectingWhite,_Kb_wwBz8Eeagv-kRpDakmQ,DetectingWhite
OpaqueBehavior,OpaqueBehaviorOfDetectingWhite,_PIgjMBz8Eeagv-kRpDakmQ,Set(WPType:=eWPType.White)
State,DetectingMetallic,_a1STYBz8Eeagv-kRpDakmQ,DetectingMetallic
OpaqueBehavior,OpaqueBehaviorOfDetectingMetallic,_e3zGkBz8Eeagv-kRpDakmQ,Set(WPType:=eWPType.Metallic)
State,WPSeperated,_frGWUBz9Eeagv-kRpDakmQ,WPSeperated
OpaqueBehavior,OpaqueBehaviorOfWPSeperated,_k84ZABz9Eeagv-kRpDakmQ,Set(WPProvided)
FinalState,FinalStateI0adABzEeagvkRpDakmQ,_I0adABz-Eeagv-kRpDakmQ,
